Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40265098,The Birth of Ethics: Reconstructing the Role and Nature of Morality,Philip Pettit,"Pettit, Philip",Kinch Hoekstra,"=""0190904917""","=""9780190904913""",0,3.83,"Oxford University Press, USA",Hardcover,400,2018,,,2022/12/13,"human-evolution, morality, philosophy, currently-reading","human-evolution (#131), morality (#149), philosophy (#194), currently-reading (#2)",currently-reading,,,,1,0
59381689,The Evolution of Agency: Behavioral Organization from Lizards to Humans,Michael Tomasello,"Tomasello, Michael",,"=""0262047004""","=""9780262047005""",5,4.00,MIT Press,Hardcover,176,2022,,2022/12/19,2022/10/30,"evolution, morality, philosophy, science","evolution (#53), morality (#148), philosophy (#193), science (#189)",read,"Michael Tomasello is an unusual scientist who does not shy away from the big questions. His new book is short and written with admirable clarity. He marshals both empirical and philosophical evidence to support his hypothesis on the evolution of agency in animals. Agency is the active approach that higher animals take to the problem of surviving. The paradigm of stimulus/response that is sometimes used to analyse this activity is hopelessly inadequate, in Tomasello's view. He posits a number of stages in the evolution of agency, where humans have reached the stage of socially normative agents, in which culture and norms are an essential part of our ecological niche.<br/><br/>A basic building block for all kinds of agency is the feedback control model. The organism has goals, and it monitors the environment and its own actions to improve the attainment of those goals. The basic driving force for the evolution of higher levels of agency was the increase in uncertainty in the environment due to competition and predation from other animals. A kind of arms race ensued. With each stage in the evolution of agency, another level of control is added at a higher level.<br/><br/>The first stage of agency involved flexible, context-sensitive behavior and learning, and involves attention to goal-relevant situations. The early vertebrates, modeled by current lizards, are hypothesized to have this level of goal-directed agency.<br/><br/>The next level, intentional agents, was probably reached by ancients mammals, corresponding to modern squirrels and rats. Due to increased competition with other goal-driven animals (including its own species and group), the ability to form a plan, an intention, evolved. This meant a degree of control of the lower-level goal-oriented behavior, adding more room for learning. An executive tier of decision-making and cognitive control was the means.<br/><br/>The third level reached by the ancient apes, probably similar to today's chimpanzees, was that of rational agents. By comparing plans and simulating in the mind various alternative actions, apes could begin to act logically and reflectively. The benefit to the individual was to understand how and why other individuals (conspecifics) acted as they did, and to anticipate their future moves. This required another executive tier, the reflective tier, which made it possible for apes to attribute mental states to others. An understanding of causality was also part of this development.<br/><br/>And finally, the fourth stage, ancient humans. Here new levels of social interaction, collaboration and competition became the driving force for development of joint agency in collaboration. Two persons agreeing to act together in a task, entailing commitment and role-taking. The collaboration of humans became obligate, i.e. it became a necessary mode of life. The selection for cooperatively competent and motivated individuals became very strong. Self-regulation in this social collaborative environment became essential, and the urge to make others conform developed as a response. Norms were born. Another level of executive control was added to regulate joint agency.<br/><br/>Culture, morality and collective agency thus evolved out of the need for better collaboration. ""Human social relationships in general ... derive from the fundamentally cooperative nature of human social relationships."" Once culture became important, it drove evolution by making cultural groups into coherent units of natural selection. Modern cultural groups have become collective agencies. This in turn explains the very strong in-group/out-group psychology of humans.<br/><br/>The need to look out for our individual interests, at the same time as we want to collaborate with others, is the fundamental reason why we humans experience true moral conflicts. We inhabit an objective-normative world, where norms are human creations, and yet have objective existence.<br/><br/>I find Michael Tomasello's hypothesis to be bold and extremely interesting. It makes sense of, and puts into perspective, the importance that norms and culture have for humans. The role of evolutionary thinking in social, political and ethical thinking is clearly growing.",,,1,0
55660732,Voyagers: The Settlement of the Pacific,Nicholas Thomas,"Thomas, Nicholas",,"=""1541619838""","=""9781541619838""",4,3.57,Basic Books,Hardcover,224,2021,,2022/11/16,2022/10/16,"history, human-evolution","history (#176), human-evolution (#126)",read,"A nice description of the controversies and investigations of the settlement of the Pacific Ocean islands by several different waves of people. It's a wonderful and fascinating story. In particular, the skills involved in navigating the deep sea using the stars and reading the signs of the ocean are humbling. The traditions and techniques developed by these expert seafarers were amazing, and happily there are now efforts to remember and revive the old ways.<br/><br/>The author Nicholas Thomas convincingly argues that the expansion of humans into Oceania could not have been primarily a random affair of shore-bound craft being blown off-course, or people being swept out on rafts by tsunamis. One important point is that the expansion took place in distinct pushes, historically brief, with long periods of little change in between.<br/><br/>The narrative focuses perhaps a little too much on the historical ideas and prejudices in the development of the sciences involved, but given the strong influence of racist ideas in interpreting the facts, it is understandable. The book is amply illustrated with many historical renderings, and though the maps are very useful, I do miss a schematic map showing the approximate geographical and temporal paths of the expansion. But it is nevertheless a book very well worth reading.",,,1,0
40196227,Why We Disagree about Human Nature,Elizabeth Hannon,"Hannon, Elizabeth",Tim Lewens,"=""0198823657""","=""9780198823650""",0,4.00,"Oxford University Press, USA",Hardcover,272,2018,,,2022/08/31,"human-evolution, science, philosophy, currently-reading","human-evolution (#121), science (#178), philosophy (#191), currently-reading (#1)",currently-reading,,,,1,0
27978875,Om Arternas Uppkomst: On the Origin of Species (Swedish Edition),Charles Darwin,"Darwin, Charles",Andrew Ryan,"=""1519249527""","=""9781519249524""",5,4.00,Createspace Independent Publishing Platform,Paperback,512,2015,1859,2022/11/24,2018/01/24,"philosophy, evolution, svenska","philosophy (#43), evolution (#33), svenska (#32)",read,"Det är inte lätt att recensera en bok som är klassikernas klassiker. Är det inte litet förmätet att säga något kritiskt? Det uppenbara först: Charles Darwins teori om evolutionen är en av vetenskapens största framsteg. I boken samlar han ihop en mängd olika argument för den, och diskuterar dem med en kombination av skärpa och ödmjukhet. Han redovisar sådant som han anser utgör svåra problem för teorin. Men det är inte svårt att se varför, trots allt, så många av de som läste boken lät sig övertygas. Boken är inte alls den torra traktat som man skulle kunna föreställa sig, utan en levande och resonerande text.<br/><br/>Det som förvånade mig mest är hur mycket Darwin använder sig av observationer från husdjursavel i sin argumentation. Jag hade visserligen hört om hans avel av duvor, men att den aspekten används så mycket, och med sådan kraft, överraskade mig litet grann.<br/><br/>Med tanke på den centrala position som genetik och genomik har idag, så är Darwins diskussion om ärftlighetens mysterier ytterst frustrerande. Man vill skrika tvärs över de ca 170 år som gått sedan publikationen: GENER, Darwin, det handlar om GENER! Något liknande gäller hans diskussion om hur arter har spritts till olika världsdelar, där man så gärna vill berätta för honom om Wegeners kontinentaldriftsteori.<br/><br/>Detta sagt, över till min kritik. Bokens text innehåller en hel del repetititioner. Visst, det kan behövas i en argumenterande skrift. Men mitt intryck är att texten inte har redigerats riktigt så som borde ha skett. Det visade sig att Alfred Russel Wallace ungefär samtidigt oberoende hade kommit till samma insikter om evolutionens principer som Darwin. Detta tvingade Darwin att skriva boken, så är det förståeligt att det gick litet snabbt. Men jag tror boken hade blivit mycket bättre med en hård men rättvis redaktör.<br/><br/>Men den är, som sagt, en klassiker. Den bör läsas.",,,1,0
55036091,The Social Instinct: How Cooperation Shaped the World,Nichola Raihani,"Raihani, Nichola",,"=""1787332047""","=""9781787332041""",5,4.05,Jonathan Cape,Hardcover,288,2021,2021,2022/11/04,2022/10/10,"human-evolution, morality, reviewed","human-evolution (#125), morality (#147), reviewed (#135)",read,"This is one of the best books on human evolution I have read. Nichola Raihani writes very well, and manages to explain scientific results and theoretical arguments in a very accessible manner. Beginning with cooperation on the level of genes, she goes on to explain how cooperation is the basis for multicellular life, continuing to cooperation between individual organisms. As part of the package, we get a very good description of how evolution works in general.<br/><br/>What I like most about her account is the emphasis that evolution does not prescribe one single solution to the problem of life. The slogan ""survival of the fittest"" is often taken to imply that ""fitness"" is simple and straightforward, and can therefore be achieved in only one way. This is not so. There are many ways of living, many possible strategies, and the context, including ecology, climate, genetics, and simple randomness, affect the outcome. Connected to this is also the important point made by Raihani that if we want to understand human sociality, it is not self-evident that we should look at our closest evolutionary relatives, such as the great apes. Rather, we should look at other species whose ecological and genetic context is similar in relevant aspects. The meerkats or the naked mole-rats have more in common regarding certain aspects of their social lives with humans, in spite of their more distant evolutionary relationships.<br/><br/>An important theme in the latter part of the book, where Raihani discusses how evolution has formed Homo sapiens, is the notion of social dilemmas. We are a profoundly social species, but being social implies its own built-in contradictions, such as the Tragedy of the commons, where the use of a common resource needs to be carefully managed, but each individual has an incentive to use it to the fullest, thereby collectively overusing it. How this problem can be solved is an important research topic with Elinor Ostrom as a central figure. This work is discussed by Raihani in the context of the Covid-19 pandemic and the current climate crisis.<br/><br/>If there is one point of criticism, it would be her treatment of culture. The special role of cumulative culture, including norms, in human affairs is discussed by Raihani, but somehow I feel that she is not giving it the weight it should have in her discussion. Discussing hunter-gatherer societies, she seems to suggest that they were more similar than societies are today; this is, I think, wrong. Anthropological studies rather indicate the opposite. Hunter-gatherers were probably very culturally diverse. But this is a minor point in an otherwise highly readable book, which I would recommend to anyone interested in the subject.",,,1,0
57981964,Huset där jag bor,Jörn Donner,"Donner, Jörn",,"=""""","=""9789515214348""",0,4.50,Schildts & Söderströms,Hardcover,173,1992,,,2021/12/17,"politics, history, svenska","politics (#65), history (#100), svenska (#153)",read,,,,1,0
2418660,Against the Current: Essays in the History of Ideas,Isaiah Berlin,"Berlin, Isaiah",Henry Hardy,"=""0712666907""","=""9780712666909""",0,4.24,Pimlico,Paperback,410,1997,1979,,2021/12/07,"enlightenment, history, liberalism, political-philosophy","enlightenment (#21), history (#56), liberalism (#116), political-philosophy (#142)",read,,,,1,0
87447,Freedom and Its Betrayal: Six Enemies of Human Liberty,Isaiah Berlin,"Berlin, Isaiah",Henry Hardy,"=""071266842X""","=""9780712668422""",0,4.23,Pimlico,Paperback,182,2003,1969,,2021/12/07,"enlightenment, history, liberalism, political-philosophy","enlightenment (#20), history (#55), liberalism (#115), political-philosophy (#141)",read,,,,1,0
75854,"Anarchy, State, and Utopia",Robert Nozick,"Nozick, Robert",,"=""063119780X""","=""9780631197805""",0,3.76,Blackwell,Paperback,367,2010,1974,,2021/12/05,"liberalism, morality, political-philosophy","liberalism (#98), morality (#94), political-philosophy (#97)",read,,,,1,0
